# One and two body transition densities
#
# One-body basis:
# i   n   l   2j  2tz (proton=+1)
 54  34   0.08675895
 54  36  -0.06771713
 54  39  -0.02017041
 55   9  -0.06813792
 55  29  -0.02432973
 55  40   0.00689863

Jf nJf  Ji nJi  Lambda =   1 1      1 1      0
-------------- OBTD ---------------------
  3   0  -0.04401799
  4   1   0.10912199
  5   2  -0.08560627

-------------- TBTD ---------------------
  9   0  -0.02323578
  9  21  -0.01985269
  9  35   0.05240865
 10   3   0.00348971
 10  23  -0.05503719
 11   1  -0.03705965
 11   4   0.01614853
 11   7   0.00366917
 11  22  -0.00712241
 11  24  -0.02200829
 12   5   0.00662094
 12   8   0.05547875
 13   2  -0.02782321
 13   6   0.00036326
 15   3   0.08107514
 15  23   0.10251730
 16   1  -0.00868047
 16   4   0.09706085
 16   7  -0.07090345
 16  22   0.02629636
 16  24  -0.07326951
 17   5   0.04100758
 17   8   0.02604693
 18   2   0.00566908
 18   6   0.11487742
 19   1   0.02239651
 19   4  -0.05451323
 19   7  -0.08676460
 19  22  -0.04629556
 19  24   0.03072875
 20   5   0.05024247
 20   8  -0.10607959
 25   3   0.00067907
 25  23  -0.06716519
 26   1  -0.03748273
 26   4   0.01467028
 26   7   0.00951653
 26  22  -0.00999539
 26  24   0.00815717
 27   5  -0.00821815
 27   8   0.02349478
 28   2   0.01958995
 28   6   0.02538334
 29   0  -0.02784638
 29  21   0.00502525
 29  35   0.00187553
 30   3   0.00434987
 30  23  -0.06169450
 31   1  -0.01019568
 31   4   0.01062544
 31   7  -0.06053049
 31  22   0.00894758
 31  24  -0.00929085
 32   5  -0.02765703
 32   8  -0.01598143
 33   3   0.01642324
 33  23  -0.03949113
 34   1  -0.05519998
 34   4  -0.06045222
 34   7  -0.03454258
 34  22   0.01138531
 34  24  -0.03182236
 36   1   0.00134316
 36   4  -0.00866452
 36   7  -0.01103185
 36  22  -0.00500272
 36  24  -0.01713689
 37   5  -0.01586580
 37   8   0.04415464
 38   3   0.02419496
 38  23   0.06238297
 39   1  -0.02406675
 39   4   0.02644083
 39   7  -0.05571485
 39  22   0.01079441
 39  24  -0.06134826
 40   0   0.04929443
 40  21  -0.01051701
 40  35   0.00629442
 41   3   0.04484977
 41  23  -0.06275648
 42   9  -0.02524061
 42  29  -0.01994004
 42  40   0.05096734
 43  11  -0.03564759
 43  16   0.02647807
 43  19  -0.01561848
 43  26   0.00324571
 43  31  -0.00748779
 43  34   0.00679727
 43  36   0.02199305
 43  39   0.03609511
 44  13  -0.02803599
 44  18  -0.01225991
 44  28  -0.01336377
 45  10  -0.00713433
 45  15  -0.00522477
 45  25   0.08774718
 45  30  -0.01265288
 45  33   0.01156428
 45  38   0.02567826
 45  41  -0.03819319
 46  11   0.02033363
 46  16   0.01369598
 46  19  -0.01381395
 46  26  -0.06788007
 46  31   0.02492280
 46  34  -0.03811022
 46  36  -0.06694287
 46  39   0.04272993
 47  12  -0.02094492
 47  17   0.00223256
 47  20  -0.00594490
 47  27   0.03133247
 47  32   0.02398996
 47  37  -0.05562562
 48  13  -0.00941890
 48  18  -0.01516979
 48  28  -0.10533942
 49  11   0.01749580
 49  16   0.00283608
 49  19  -0.01084395
 49  26   0.06737908
 49  31  -0.03614546
 49  34   0.04507790
 49  36  -0.08581459
 49  39   0.03212193
 50  12  -0.06018614
 50  17   0.03099142
 50  20  -0.04597628
 50  27   0.03367090
 50  32  -0.00862019
 50  37   0.10541040
 51   9  -0.02848154
 51  29   0.00485788
 51  40   0.00141414
 52  11  -0.01026522
 52  16   0.00090989
 52  19  -0.02529606
 52  26  -0.01343310
 52  31   0.00859294
 52  34  -0.00492693
 52  36  -0.05977346
 52  39   0.00884173
 53  10   0.06422160
 53  15  -0.02254429
 53  25   0.06390111
 53  30   0.01735511
 53  33   0.04561509
 53  38  -0.01982909
 53  41   0.03440935
 54  11  -0.02220287
 54  16  -0.02460828
 54  19  -0.01810543
 54  26   0.06108442
 54  31   0.00008296
 54  34   0.02559927
 54  36   0.04057097
 54  39  -0.00613415
 55   9   0.04980738
 55  29  -0.01049234
 55  40   0.00505116

Jf nJf  Ji nJi  Lambda =   1 2      1 1      0
-------------- OBTD ---------------------
  3   0   0.02006658
  4   1  -0.00109906
  5   2  -0.03499759

-------------- TBTD ---------------------
  9   0  -0.00386043
  9  21   0.03935937
  9  35  -0.02529381
 10   3  -0.02467955
 10  23   0.04364831
 11   1   0.02136887
 11   4  -0.03737886
 11   7   0.00079170
 11  22  -0.01675328
 11  24   0.01297811
 12   5  -0.00451940
 12   8  -0.04451269
 13   2   0.01502783
 13   6   0.02926400
 15   3   0.01345788
 15  23  -0.01640418
 16   1   0.04237637
 16   4  -0.03811658
 16   7   0.08724524
 16  22   0.01453917
 16  24  -0.04292640
 17   5   0.01184124
 17   8  -0.02439889
 18   2  -0.04008481
 18   6   0.02087179
 19   1   0.00597280
 19   4  -0.08423852
 19   7  -0.03793601
 19  22  -0.06114869
 19  24   0.03625311
 20   5   0.04350474
 20   8  -0.04982547
 25   3  -0.00231320
 25  23  -0.00613023
 26   1  -0.00920143
 26   4  -0.04469512
 26   7  -0.00042054
 26  22  -0.00864833
 26  24  -0.04692904
 27   5  -0.01889834
 27   8  -0.02763653
 28   2  -0.00763899
 28   6   0.00645811
 29   0  -0.02135356
 29  21   0.02701378
 29  35  -0.00767167
 30   3   0.02615855
 30  23   0.00987427
 31   1   0.00068987
 31   4  -0.00864968
 31   7   0.01122075
 31  22  -0.01590427
 31  24   0.01156711
 32   5  -0.01906056
 32   8  -0.00270880
 33   3   0.03366770
 33  23  -0.00112400
 34   1  -0.01558670
 34   4  -0.04139410
 34   7  -0.01525509
 34  22   0.00926807
 34  24  -0.00480502
 36   1   0.00457259
 36   4   0.00344205
 36   7  -0.00077071
 36  22   0.01216672
 36  24   0.02093285
 37   5  -0.02046700
 37   8  -0.03592746
 38   3   0.00117379
 38  23  -0.00412661
 39   1  -0.01825411
 39   4   0.00852971
 39   7   0.02816542
 39  22   0.00274054
 39  24   0.01063270
 40   0   0.00267223
 40  21  -0.00244789
 40  35  -0.01281695
 41   3   0.02385175
 41  23  -0.01917816
 42   9  -0.00352999
 42  29   0.03979191
 42  40  -0.02352303
 43  11   0.02090919
 43  16  -0.01078609
 43  19   0.03279072
 43  26   0.04198029
 43  31  -0.01695495
 43  34  -0.01513823
 43  36  -0.03393275
 43  39  -0.03378527
 44  13   0.01548310
 44  18  -0.00793008
 44  28  -0.04860803
 45  10  -0.01306194
 45  15  -0.00060104
 45  25   0.01141923
 45  30  -0.00471779
 45  33   0.00205660
 45  38  -0.02359441
 45  41   0.03467386
 46  11   0.03594630
 46  16  -0.01833535
 46  19   0.02348451
 46  26  -0.02427676
 46  31   0.01611149
 46  34  -0.02335342
 46  36   0.06249064
 46  39  -0.02654817
 47  12   0.01246862
 47  17   0.01213305
 47  20   0.01223108
 47  27  -0.01924446
 47  32  -0.00856051
 47  37   0.06576036
 48  13  -0.02285615
 48  18   0.02902682
 48  28   0.01475223
 49  11   0.00767704
 49  16  -0.01725825
 49  19  -0.02249953
 49  26   0.06265488
 49  31  -0.03450057
 49  34   0.02762783
 49  36  -0.01477266
 49  39  -0.03030384
 50  12   0.00534503
 50  17   0.00940121
